app_id,name,original_price_usd,current_price_usd,is_free,owners_proxy,total_reviews,review_ratio,days_since_release,main_genre,release_date
550,Left 4 Dead 2,9.99,9.99,0,75000000,1001456,0.9753528861976961,5863.0,Action,"Nov 16, 2009"
105600,Terraria,9.99,9.99,0,35000000,1455851,0.9743778724608494,5317.0,Action,"May 16, 2011"
252490,Rust,39.99,39.99,0,35000000,1292285,0.870892256739032,2857.0,Action,"Feb 8, 2018"
4000,Garry's Mod,9.99,9.99,0,35000000,1197427,0.9682452458479723,6946.0,Casual,"Nov 29, 2006"
218620,PAYDAY 2,9.99,4.99,0,35000000,667733,0.8925079335602704,4497.0,Action,"Aug 13, 2013"
221100,DayZ,49.99,49.99,0,15000000,446091,0.7728198954921753,2549.0,Action,"Dec 13, 2018"
251570,7 Days to Die,44.99,44.99,0,15000000,389908,0.8715235388860962,498.0,Action,"Jul 25, 2024"
49520,Borderlands 2,19.99,19.99,0,15000000,307967,0.8934950822653076,4827.0,Action,"Sep 17, 2012"
261550,Mount & Blade II: Bannerlord,49.99,24.99,0,15000000,277551,0.8791032999340662,1137.0,Action,"Oct 25, 2022"
220,Half-Life 2,9.99,9.99,0,15000000,259452,0.9761343138615235,7689.0,Action,"Nov 16, 2004"
10,Counter-Strike,9.99,9.99,0,15000000,255285,0.9742052999588695,9165.0,Action,"Nov 1, 2000"
240,Counter-Strike: Source,9.99,9.99,0,15000000,186968,0.9627743785032733,7704.0,Action,"Nov 1, 2004"
400,Portal,9.99,9.99,0,15000000,186325,0.9850154300281766,6631.0,Action,"Oct 10, 2007"
70,Half-Life,9.99,9.99,0,15000000,154186,0.9652432775997821,9878.0,Action,"Nov 19, 1998"
219990,Grim Dawn,24.99,24.99,0,15000000,102661,0.937464080809655,3571.0,Action,"Feb 25, 2016"
620,Portal 2,9.99,9.99,0,7500000,446925,0.9869911058902501,5345.0,Action,"Apr 18, 2011"
250900,The Binding of Isaac: Rebirth,14.99,14.99,0,7500000,369269,0.9727353230300946,4049.0,Action,"Nov 4, 2014"
268910,Cuphead,19.99,19.99,0,7500000,198401,0.9625959546574866,2989.0,Action,"Sep 29, 2017"
12210,Grand Theft Auto IV: The Complete Edition,19.99,19.99,0,7500000,185045,0.8275770758464157,2082.0,Action,"Mar 24, 2020"
48700,Mount & Blade: Warband,19.99,4.99,0,7500000,168764,0.977228555853144,5728.0,Action,"Mar 31, 2010"
221380,Age of Empires II (Retired),19.99,19.99,0,7500000,101984,0.9580816598682146,4623.0,Strategy,"Apr 9, 2013"
219640,Chivalry: Medieval Warfare,24.99,24.99,0,7500000,65297,0.8254284270334012,4798.0,Action,"Oct 16, 2012"
500,Left 4 Dead,9.99,9.99,0,7500000,64494,0.9638571029863243,6227.0,Action,"Nov 17, 2008"
10180,Call of Duty®: Modern Warfare® 2 (2009),19.99,19.99,0,7500000,59137,0.9321575325092581,5868.0,Action,"Nov 11, 2009"
80,Counter-Strike: Condition Zero,9.99,9.99,0,7500000,27232,0.9146225029377203,7949.0,Action,"Mar 1, 2004"
2630,Call of Duty® 2,19.99,19.99,0,7500000,10899,0.9358656757500688,6993.0,Action,"Oct 13, 2006"
30,Day of Defeat,4.99,4.99,0,7500000,7188,0.9031719532554258,8254.0,Action,"May 1, 2003"
360,Half-Life Deathmatch: Source,9.99,9.99,0,7500000,5226,0.7531572904707233,7158.0,Action,"May 1, 2006"
40,Deathmatch Classic,4.99,4.99,0,7500000,3213,0.8303765950824774,8953.0,Action,"Jun 1, 2001"
208650,Batman™: Arkham Knight,19.99,3.99,0,3500000,148485,0.8913156211065091,3818.0,Action,"Jun 23, 2015"
3590,Plants vs. Zombies GOTY Edition,4.99,4.99,0,3500000,147155,0.9765757194794604,6058.0,Strategy,"May 5, 2009"
220200,Kerbal Space Program,39.99,9.99,0,3500000,130857,0.952108026318806,3875.0,Indie,"Apr 27, 2015"
222880,Insurgency,14.99,14.99,0,3500000,124744,0.9164208298595523,4335.0,Action,"Jan 22, 2014"
211820,Starbound,14.99,14.99,0,3500000,122549,0.9018188642910183,3423.0,Action,"Jul 22, 2016"
220240,Far Cry 3,19.99,19.99,0,3500000,120849,0.8899370288541899,4749.0,Action,"Dec 4, 2012"
219150,Hotline Miami,9.99,9.99,0,3500000,117283,0.9704219707886054,4791.0,Action,"Oct 23, 2012"
219740,Don't Starve,9.99,9.99,0,3500000,111423,0.9658777810685406,4609.0,Adventure,"Apr 23, 2013"
254700,Resident Evil 4 (2005),19.99,19.99,0,3500000,86932,0.9363525514195002,4299.0,Action,"Feb 27, 2014"
214950,Total War: ROME II - Emperor Edition,59.99,11.99,0,3500000,84627,0.872960166377161,4477.0,Strategy,"Sep 2, 2013"
212680,FTL: Faster Than Light,9.99,3.99,0,3500000,76636,0.9520329871078866,4830.0,Indie,"Sep 14, 2012"
213670,South Park™: The Stick of Truth™,29.99,29.99,0,3500000,70448,0.9755564387917329,4295.0,Action,"Mar 3, 2014"
55230,Saints Row: The Third,9.99,9.99,0,3500000,69021,0.9566363860274409,5135.0,Action,"Nov 14, 2011"
17390,SPORE™,19.99,19.99,0,3500000,68757,0.9250549035007345,6195.0,Action,"Dec 19, 2008"
1250,Killing Floor,19.99,1.99,0,3500000,68004,0.9519587083112758,6049.0,Action,"May 14, 2009"
214490,Alien: Isolation,39.99,39.99,0,3500000,63239,0.9316402852670029,4078.0,Action,"Oct 6, 2014"
20900,The Witcher: Enhanced Edition Director's Cut,9.99,1.49,0,3500000,61692,0.8939246579783441,6286.0,Action,"Sep 19, 2008"
48000,LIMBO,9.99,9.99,0,3500000,59429,0.9239596829830554,5239.0,Action,"Aug 2, 2011"
