variable,coef,pvalue
x0,-0.01083256043258133,0.3616211324091959
x1,0.043687185294958436,7.897181266526057e-13
x2,5.44412166550394e-06,0.29406467460234703
x3,0.23140503219671021,0.005184924381392751
x4,0.03747104210987513,0.07068901091894732
x5,0.0473658113733762,0.14963932673247066
x6,0.022242551322879736,0.3403145367713195
x7,-0.213158916813213,0.08843513300907993
x8,-0.03260446273535507,0.21495328754829054
x9,0.11519562798371857,0.0433917939476373
x10,-0.04066795083177646,0.22199222809935437
x11,0.023277623955785365,0.8522901088688154
x12,-0.010891427575248927,0.6052249416600659
